botanical,family,trade_name,source,med_sys_tag
Nerium oleander L.; [ = N. indicum Mill.],APOCYNACEAE,"Oleander,; Kaner",W/C,AFH
Nervilia aragoana Gaudich.,ORCHIDACEAE,Sthalapadma,W,A
Nervilia plicata (Andrews) Schltr.,ORCHIDACEAE,Padmacarini,W,AF
Nicotiana tabacum L.,SOLANACEAE,Tambaku,C,AFHSU
Nigella sativa L.,RANUNCULACEAE,"Jeera (Black),; Kalongi",C,AFSU
Nilgirianthus ciliatus (Nees) Bremek.; [= Strobilanthes ciliatus Nees],ACANTHACEAE,"Kurinji, Karvi",W,A
Nilgirianthus heyneanus (Nees) Bremek.,ACANTHACEAE,Kurinji (Subs.),W,F
Nyctanthes arbor-tristis L.,OLEACEAE,Paruatak pan,C/W,AFHS
Nymphaea alba L.,NYMPHAEACEAE,"Neel kamal,; Neelofar",W,ASTU
Nymphaea nouchali Burm.f.,NYMPHAEACEAE,Niloth phal,W/C,AFS
Nymphaea stellata Willd.,NYMPHAEACEAE,Nilofar,W,AFST
Ocimum americanum L.,LAMIACEAE,"Kali tulsi,; Bantulsi",W,AFHS
Ocimum basilicum L.,LAMIACEAE,"Sweet basil, Herb; Kali tulsi,; Bantulsi","Leaf, Whole",
Ocimum gratissimum L.,LAMIACEAE,Ram tulasi Shrub,Whole Plant,
Ocimum kilimandscharicum Gurke,LAMIACEAE,Karpoora Shrub; tulasi,Whole Plant,
Ocimum tenuiflorum L.; [= O. sanctum L.],LAMIACEAE,Tulasi Herb,"Leaf, Fruit",
Olea dioica Roxb.,OLEACEAE,"Koli, Itala, Tree; Edala",Bark (Stem),
Onosma bracteatum Wall.,BORAGINACEAE,Gule-Gazbaan Herb,"Flower, Leaf",
Onosma echioides L.,BORAGINACEAE,Ratanjot Herb,Root,
Onosma hispidum Wall. ex G.Don,BORAGINACEAE,Ratan jot Herb,Root,
Operculina turpethum (L.) J.Silva Manso; [= Merremia turpethum (L.) Shah & Bhat],CONVOLVULACEAE,Nishoth Climber,"Root, Stem",
Orchis mascula (L.) L.,ORCHIDACEAE,Salam misri Herb,Root,
Origanum majorana L.,LAMIACEAE,"Gandhira, Herb; Sweet; Marjoram",Whole Plant,
Oroxylum indicum (L.) Benth. ex Kurz,BIGNONIACEAE,"Tetuchaal, Arlu Tree",Bark,
Orthosiphon glabratus Benth.,LAMIACEAE,Pratanika Herb,Whole Plant,
Oryza sativa L.,POACEAE,"Aval, Herb; Akki,; Thavidu",Fruit (Grains),
Oxalis corniculata L.,OXALIDACEAE,Puliyaarila Herb,"Whole Plant,",**
Pachygone ovata (Poir.) Miers ex,MENISPERMACEAE,"Kadukkod; i, Pedda; Dusar tree",W,F
Paederia foetida L.,RUBIACEAE,Prasaarani,W,A
Paederia scandens (Lour.) Merr.,RUBIACEAE,Prasaarani,W,F
Paeonia emodi Wall. ex Royle,PAEONIACEAE,Ud saleev,W,AU
Panax ginseng C.A.Mey.,ARALIACEAE,Ginseng,I,W
Panax pseudoginseng Wall.,ARALIACEAE,Ginseng,W,FHW
Pandanus fascicularis Lam.,PANDANACEAE,"Kewada,; Ketaki",W,AF
Papaver somniferum L.,PAPAVERACEAE,"Postdan; a,; Khaskh",C,AFHSUW
Paris polyphylla Sm.,MELANTHIACEAE,"Daiswa; as; paris,; Svetavaca",W,A
Parmelia kamstchadalis Ach.,PARMELIACEAE,Chadela; Dagadphool; (Subs.),W,F
Parmelia perforata Ach.,PARMELIACEAE,Chadela; Dagadphool; (Subs.),W,AU
Parmelia perlata (Huds.) Ach.,PARMELIACEAE,Chadela; Dagadphool; (Subs.),W,ASTU
Passiflora foetida L.,PASSIFLORACEAE,Foul passiflora Climber,W,AFS
Passiflora incarnata L.,PASSIFLORACEAE,Passion flower Climber,C/W,HW
Pavonia odorata Willd.,MALVACEAE,"Moramasi,; Sugandhabala",W,AFST
Pavonia zeylanica (L.) Cav.,MALVACEAE,Sitranmuttiver Herb,C/W,AFS
Pedalium murex L.,PEDALIACEAE,Gokhru bada,W,AFSU
Peganum harmala L.,ZYGOPHYLLACEAE,Harmal,W,AFSU**
Pentapetes phoenicea L.,STERCULIACEAE,"Dopohoria,; Pushparakta",C/W,AFS
Pergularia daemia (Forssk.) Choiv.,ASCLEPIADACEAE,Atrilal,W,AFS
Pericampylus glaucus (Lam.) Merr.,MENISPERMACEAE,Barakkanta,W,F
Peristrophe bicalyculata (Retz.) Nees,ACANTHACEAE,Atrilal,W,F
Peucedanum grande (Dalzell &,APIACEAE,Baphli,W,AU
Phoenix dactylifera L.; var. pedunculata Becc.,ARECACEAE,Khajur,C,AFSU
Phoenix loureirii Kunth; [= P. humilis Royle; var. pedunculata Becc.],ARECACEAE,Sitreechu,W,S
Phoenix pusilla Gaertn.; [= P. farinifera Roxb.],ARECACEAE,Chitteenth,W,AF
Phoenix sylvestris (L.) Roxb.,ARECACEAE,Khajur,C/W,AFST
Phyla nodiflora (L.) Greene,VERBENACEAE,"Chota-okra,; Jalpippali",W,AFS
Phyllanthus amarus Schumach. & Thonn.; [= P. fraternus Webst.],EUPHORBIACEAE,Bhumiamla,W/C,AFS
Phyllanthus debilis Klein ex Willd.,EUPHORBIACEAE,Bhumiamla,W,F
Phyllanthus maderaspatensis L.,EUPHORBIACEAE,Kanocha,W,AFSU
Phyllanthus reticulatus Poir.; [ = Kirganelia reticulata (Poir.) Baill.],EUPHORBIACEAE,Buinowla,W,AFS**
Phyllanthus urinaria L.,EUPHORBIACEAE,Lal-Bhuin-; Anvalah,W,AS
Phyllanthus virgatus G.Forst.,EUPHORBIACEAE,Niruri,W,F
Phyllostachys bambusoides Sieb. & Zucc.,POACEAE,Banslochan; (Subs.),W,F
Physalis minima L.,SOLANACEAE,"Tulatipati,; Tankari",W,AFST
Physochlaina praealta (Decne.) Miers,SOLANACEAE,"Lal tang,; Bajar; Bang",W,F
Picrasma quassioides (D.Don) Benn.,SIMAROUBACEAE,"Bharangi,; Kadavi",W,AU
Picrorhiza kurroa Royle ex Benth.,SCROPHULARIACEAE,Kutaki,W,AFSTU
Picrorhiza scrophulariiflora Pennell,SCROPHULARIACEAE,Kutki,W,A
Pimpinella anisum L.,APIACEAE,"Ajamoda,; Badiyan; Khathayi",C/W,AHSUW
Pinus roxburghii Sarg.,PINACEAE,Gandabiroja,W,AFSTU
Piper betle L.,PIPERACEAE,Betle,C,AFSTU
Piper chaba Hunter; [= P. retrofractum Vahl.],PIPERACEAE,"Kabab; chini,; Chavya,; Gajpippal",I,ATU
Piper cubeba L.f.,PIPERACEAE,Tailed pepper,I,AFHSTUW
Piper longum L.,PIPERACEAE,"Pipal, Thippili,; Pippali",W/C,AFSTU
Piper nigrum L.,PIPERACEAE,"Pipal Gol,; Kalimirch",C/W,AFHSTU
Piper peepuloides Roxb.,PIPERACEAE,Pippali (Subs.),W,F**
Piper wallichii (Miq.) Han.-Mazz.; var. integerrima Brandis,PIPERACEAE,Renukbeej; (Nagodbee; j),W,AF
Pistacia integerrima Stew. ex Brand.; [= P. chinensis Bunge; var. integerrima Brandis],PISTACIACEAE,Kakarsinghi,W,A
Pistacia lentiscus L.,PISTACIACEAE,"Rumimasta; gi, Mastangi",I,ASU
Pistacia vera L.,PISTACIACEAE,Magaj; Pista; Irani,I,AU
Plantago lanceolata L.,PLANTAGINACEAE,"Baltanga,; English; plantain",W,AU
Plantago major L.,PLANTAGINACEAE,Lahuriya,W,AHSU
Plantago ovata Forssk.,PLANTAGINACEAE,Isabgol,C,AFSUW
Plectranthus amboinicus (Lour.) Spreng.,LAMIACEAE,Patharcur,C,A
Plectranthus barbatus Andrews; [= Coleus forskohlii (Poir.) Briq.],LAMIACEAE,Gandhira,C/W,AF
Plectranthus vettiveroides (Jacob),LAMIACEAE,Vettiver,C,AS
Pleurospermum angelicoides (DC.),APIACEAE,-,W,F
Pluchea lanceolata (DC.) Oliv. & Hiern,ASTERACEAE,Rasna,W,AFT
Plumbago indica L.,PLUMBAGINACEAE,Chitrak,C/W,AFS
Plumbago zeylanica L.,PLUMBAGINACEAE,Chitrak,W,AFSTU
Podophyllum hexandrum Royle; [= P. emodi Wall. ex Honig.],BERBERIDACEAE,"Bankakri,; Vanatrapu; si",W,A
Pogostemon cablin (Blanco) Benth.,LAMIACEAE,Patchouli,C,A
Pogostemon heyneanus Benth.,LAMIACEAE,Patchouli Herb,Whole Plant,
Polyalthia longifolia (Sonn.) Thwaites,ANNONACEAE,Ashok (Subs.) Tree,Bark (Stem),
Polygonatum cirrhifolium (Wall.) Royle,LILIACEAE,Meda-m-meda Herb,Root,
Polygonatum multiflorum (L.) All.,LILIACEAE,Solomnons Herb; seal,Root,
Polygonatum verticillatum (L.) All.,LILIACEAE,Meda-m-meda Herb,Root,
Polygonum alatum Buch.-Ham.,POLYGONACEAE,Chonakappulu Herb,Whole Plant,
Polygonum aviculare L.,POLYGONACEAE,Anjabar Herb,"Fruit (Seed),",
Polygonum glabrum Willd.,POLYGONACEAE,Raktha rohitha Herb,Root,
Polygonum punctatum Buch.-Ham.,POLYGONACEAE,Kangani- Herb; machan-; pillu,Whole Plant,
Polygonum viviparum L.,POLYGONACEAE,"Unjwar, Anjbar Herb",Root,
Polypodium vulgare L.,POLYPODIACEAE,Bisphaiz Herb,Root,
Pongamia pinnata (L.) Pierre; [= P. glabra Vent.; Derris indica,FABACEAE,"Honge beej, Tree; Karanji,; pongum; seed","Bark (Stem),",
Portulaca oleracea L.,PORTULACACEAE,Lonika Herb,"Fruit (Seed),",
Potentilla nepalensis Hook.,ROSACEAE,Dori ghas Herb,Root,
Pothos scandens L.,ARACEAE,Bendarli Climber,Leaf,
Premna corymbosa Rottl. & Willd.,VERBENACEAE,Arni Shrub,"Root,",
Premna flavescens Ham.,VERBENACEAE,Arnimool Tree,Bark (Root),
Premna latifolia Roxb.,VERBENACEAE,Bakar Tree,"Root,",**
Premna serratifolia L.; [= P.integrifolia L.],VERBENACEAE,Arnimool/; Agnimantha,W,AFS
Premna tomentosa Willd.,VERBENACEAE,Sonachal,W,FS
Prosopis cineraria (L.) Druce,MIMOSACEAE,"Jhand,; Chonkar",W,AF
Prunus armeniaca L.,ROSACEAE,Chuli,C,AUFTW
Prunus avium (L.) L.,ROSACEAE,"Wild cherry,; Aileya",W,A
Prunus cerasoides D.Don,ROSACEAE,Padamkasht,C/W,AFT
Prunus dulcis (Mill.) D.A.Webb.,ROSACEAE,"Badam,; Magaj; badam",C,AFH
Prunus mahaleb L.,ROSACEAE,"Mahaleb,; Priyangu",C,AU
Pseudarthria viscida (L.) Wight & Arn.,FABACEAE,Moovila,W,AFS
Psidium guajava L.,MYRTACEAE,Gujava,C,FU
Psoralea corylifolia L.,FABACEAE,"Bawachi,; Bavanchi",W,AFHSTU
Pterocarpus marsupium Roxb.,FABACEAE,"Damul-; akhwain,; Vijaysar",W,AFHSTU
Pterocarpus santalinus L.f.,FABACEAE,"Raktachandana; , Lal chandan",W,AFSTU
Pueraria lobata (Willd.) Ohwi,FABACEAE,"Mudgapar; ni,; Surpaparni",C/W,A
Pueraria tuberosa (Roxb. ex Willd.) DC.,FABACEAE,"Vidhari kand,; Vidari,; Patal Kumbha",W,AFTU**
Punica granatum L. var. granatum,PUNICACEAE,"Dadam chal,; Anaar",C/W,AFHSTU
Punica granatum L. var. nana Pers.,PUNICACEAE,Anaar,C,F
Pyrus cydonia L.,ROSACEAE,Bee dana,C,F
Quercus infectoria G.Olivier,FAGACEAE,Majuphal,I,AFSUW
Rauvolfia densiflora (Wall.),APOCYNACEAE,"Sarpagandh; a, Pagal; Buti",W,F
Rauvolfia micrantha Hook.f.,APOCYNACEAE,"Sarpagandh; a, Pagal; Buti",W,F
Rauvolfia serpentina (L.) Benth. ex Kurz,APOCYNACEAE,"Sarpagandh; a, Pagal; Buti",W/C,AFHSTUW
Rauvolfia tetraphylla L.,APOCYNACEAE,Barachandrika,C/W,F
Rhaphidophora pertusa (Roxb.) Schott; [= R. laciniata (Burm.f.) Merr.;,ARACEAE,Ganeshkanda,C/W,AFS
Rheum australe D.Don; [= R. emodi Wall. ex Meissn.],POLYGONACEAE,Revan chini,W,A
Rheum moorcroftianum Royle,POLYGONACEAE,"Revand-chini,; Amlaparni",W,A
Rheum palmatum L.,POLYGONACEAE,Revand-chini,W,ASUW
Rheum spiciforme Royle,POLYGONACEAE,Amlaparni,W,A
Rheum webbianum Royle,POLYGONACEAE,Revand-chini,W,AU
Rhinacanthus nasutus (L.) Kurz,ACANTHACEAE,"Juyiparni,; Vitamallik; ai",C/W,AFS**
Rhododendron anthopogon D.Don,ERICACEAE,Talisapatra,W,A
Rhododendron campanulatum D.Don.,ERICACEAE,Cherailu,W,F
Rhododendron lepidotum Wall.,ERICACEAE,Talisa (Subs.),W,F
Rhus succedanea L.,ANACARDIACEAE,Karkataka; shringi,W,ASTU
Ricinus communis L.,EUPHORBIACEAE,Arand,C/W,AFHSTUW
Rosa alba L.,ROSACEAE,Gulseoti,C,AFSU
Rosa centifolia L.,ROSACEAE,Gulab,C,AFSU
Rosa damascena Mill.,ROSACEAE,"Gulab,; Rose flowers",C,AFHSU
Rosa indica L.,ROSACEAE,Gulab,C,FS
Roscoea alpina Royle,ZINGIBERACEAE,Kshirkakoli,W,F
Roscoea purpurea Sm.,ZINGIBERACEAE,Kshirkakoli,W,F
Rosmarinus officinalis L.,LAMIACEAE,Rosemary,I,FHW
Rotula aquatica Lour.,LYTHRACEAE,Pasanbheda,W,AF
Rourea santaloides Wight & Arn.,CONNARACEAE,Varadara,W,F
Rubia cordifolia L.,RUBIACEAE,"Majith,; Manjist; ha",W,AFSTU
Rubia sikkimensis Kurz,RUBIACEAE,"Naga; madder,; Moyum",W,F
Rumex nepalensis Spreng.,POLYGONACEAE,Yellow dock; (Subs.),W,AHUW
Ruta graveolens L.,RUTACEAE,Sadab,C,AFHSUW
Saccharum munja Roxb.,POACEAE,Amaveru,W,AT
Saccharum officinarum L.,POACEAE,Karumbu,C,AFHSTU
Saccharum spontaneum L.,POACEAE,Kusha,W,AFSTU
Salacia chinensis L.,CELASTRACEAE,Courondi,W,AFS**
Salacia oblonga Wall. ex Wight & Arn.,CELASTRACEAE,Kadalainjil,W,FS
Salacia reticulata Wight,CELASTRACEAE,Pitila,W,AF
Salix tetrasperma Roxb.,SALICACEAE,Indian willow,W,AFSU
Salvadora oleoides Decne.,SALVADORACEAE,Pilu,W,AFU
Salvadora persica L.,SALVADORACEAE,Goni,W,AFSU
Salvia aegyptiaca L.,LAMIACEAE,Balangoo,W,AU
Salvia haematodes L.,LAMIACEAE,Behman,I,FU
Salvia moorcroftiana Wall. ex Benth.,LAMIACEAE,"Tuk; marian,; Tuth",W,F
Salvia plebeia R.Br.,LAMIACEAE,Kachora,W,AS
Salvia sclarea L.,LAMIACEAE,Behman safed,I,U
Santalum album L.,SANTALACEAE,Chandan,W,AFHSTUW
Sapindus emarginatus Vahl.,SAPINDACEAE,"Reetha,; Soapnut",W/C,AFU
Sapindus mukorossi Gaertn.,SAPINDACEAE,Aretha mota,C/W,A
Saraca asoca (Roxb.) W.J.de Wilde,CAESALPINIACEAE,Ashoka,W,AFHS
Sarcostemma viminale (L.) R.Br.; [ = S. acidum (Roxb.) Voigt],ASCLEPIADACEAE,"Soma,; Somalatha",W,A
Saussurea costus (Falc.) Lipsch.; [ = S. lappa (Decne.) Sch.Bip.],ASTERACEAE,"Kuth, Uplet",C/W,AFSTU
Saussurea hypoleuca Spreng. ex DC.,ASTERACEAE,Kuth (Subs.),W,F
Schizachyrium exile (Hochot.) Stapf,POACEAE,Sprkka,W,A
Schleichera oleosa (Lour.) Oken,SAPINDACEAE,Kusum beeja,W,AFS
Schrebera swietenoides Roxb.,OLEACEAE,Ghanti phal,W,AFSTTag **
Scindapsus officinalis (Roxb.) Schott.,ARACEAE,Gaj pipal,W,AFSTU
Securinega leucopyrus (Willd.) Mull.-Arg.; [= Flueggea leucopyrus Willd.],EUPHORBIACEAE,"Hartho,; Bhuriphali",W,AFS
Selinum candollei DC.,APIACEAE,Mura,W,A
Selinum vaginatum (Edgew.) C.B.Clarke,APIACEAE,Butkesh,W,F
Semecarpus anacardium L.f.,ANACARDIACEAE,"Balave,; Bhilavan,; Bhilawa,; Marking nuts",W,AFHSTU
Senna italica Mill.; [ = Cassia italica (Mill.) Lam. ex Andr.;,CAESALPINIACEAE,Nila aavaarai,W,AFH
Sesamum orientale L.; [= S. indicum L.],PEDALIACEAE,Til,C,AS
Sesbania grandiflora (L.) Poir.,FABACEAE,Agase,C,AFSTU
Sesbania speciosa Taub.,FABACEAE,Seemai agathi,W/C,F
Seseli diffusum (Roxb. ex Sm.) Santapau,APIACEAE,"Kirmani,; Ajwain",W,A
Setaria italica (L.) Beauv,POACEAE,Kangni,C,AFSTU**
Shorea robusta Gaertn.,DIPTEROCARPACEAE,Raal,C/W,AFSTU
Sida acuta Burm.f.,MALVACEAE,Bala,W,AFS
Sida cordifolia L.,MALVACEAE,Bala,W,AFST
Sida rhombifolia L.,MALVACEAE,Bala,W,AFS
Silybum marianum (L.) Gaertn.,ASTERACEAE,Milk thistle,C/W,HW
Simmondsia chinensis (Link),SIMMONDSIACEAE,Jojoba,C,W
Sinapis alba L.,BRASSICACEAE,"Safedrai,; Yellow; mustard",C/W,AHS
Sisymbrium irio L.,BRASSICACEAE,Khubkalan,W,AU
Skimmia laureola (DC.) Zucc. ex Walp.,RUTACEAE,"Ner, Patrang,; Barru",W,F
Smilax aspera L.,SMILACACEAE,Chopchi; ni; (Subs.),W,AH
Smilax china L.,SMILACACEAE,Chobchini,I,ASU
Smilax glabra Roxb.,SMILACACEAE,"Chobchini,; Lokhandi",W,A
Smilax zeylanica L.,SMILACACEAE,Chopchi; ni; (Subs.),W,AFS
Solanum anguivi Lam.; [= S. indicum auct. non L.;,SOLANACEAE,Katheli-badhi,W,AS
Solanum melongena L.,SOLANACEAE,Baingan,C,AFSU**
Solanum nigrum L.,SOLANACEAE,"Makoi,; Kakamachi",W,AFHSTU
Solanum torvum Sw.,SOLANACEAE,Padarchunda,C/W,AFS
Solanum trilobatum L.,SOLANACEAE,Alarka,W,AFS
Solanum virginianum L.; [= S. surattense Burm.f.;,SOLANACEAE,Kateli,W,AH
Soymida febrifuga (Roxb.) A.Juss.,MELIACEAE,Rohan,W,AFSTU
Spatholobus roxburghii Benth.,FABACEAE,Mula,W,FS
Spermacoce articularis L.f.,RUBIACEAE,Tukah,W,A
Sphaeranthus africanus L.,ASTERACEAE,Mundi,W,A
Sphaeranthus amaranthoides Burm.,ASTERACEAE,Cevayam,W,FS
Sphaeranthus indicus L.; var. oleracea C.B.Clarke,ASTERACEAE,Gorak mundi,W,AFSTU
Spilanthes oleracea L.; [= S. acmella Murr. var. oleracea,ASTERACEAE,"Akarkara,; Sarahattik; a, Vana-; mugali",C/W,A
Spondias pinnata (L.f.) Kurz,ANACARDIACEAE,Amate,W,AFSTU
Stephania glabra (Roxb.) Miers,MENISPERMACEAE,"Patha,; Rajapat",W,A
Sterculia foetida L.,STERCULIACEAE,"Janlibada; m, Java",W/C,AFSTag **
Sterculia urens Roxb.,STERCULIACEAE,"Karaya,; Kateera",W,AFSW
Stereospermum chelonoides (L.f.) DC.; [= S. suaveolens (Roxb.) DC.],BIGNONIACEAE,Patala,W,AFS
Stereospermum colais (Buch.-Ham.; [= S. personatum (Hassk.) Chatterjee],BIGNONIACEAE,Patala,W,AF
Streblus asper Lour.,MORACEAE,Bajradanti,W,AFS
Strophanthus wightianus Wight,APOCYNACEAE,Naithal; kizhangu,W,F
Strychnos nux-blanda A.W.Hill,LOGANIACEAE,"Kuchla,; Itti beeja; (Subs.)",W,F
Strychnos nux-vomica L.,LOGANIACEAE,"Kuchla,; Itti; beeja",W,AFHSTUW
Strychnos potatorum L.f.,LOGANIACEAE,"Nirmali,; Cleaning; nuts",W,AFSTU
Stylocoryna lucens (Hook.f.) Gamble; [= Tarenna alpestris (Wight) N.P.Balakr.],RUBIACEAE,Paphanals,W,A
Swertia alata (Royle ex D.Don),GENTIANACEAE,Kiratatikta,W,A
Swertia angustifolia Ham.,GENTIANACEAE,Chiraeta; shireen,W,AU
Swertia chirayita (Roxb. ex,GENTIANACEAE,Chiraiyata,W/C,AFH
Symplocos cochinchinensis S.Moore,SYMPLOCACEAE,Lodhra,W,AFS
Symplocos paniculata (Thunb.) Miq.,SYMPLOCACEAE,"Lodhra,",W,AUTag **
Symplocos racemosa Roxb.,SYMPLOCACEAE,Pathani lodh,W,AFSTU
Syzygium aromaticum (L.) Merr.,MYRTACEAE,"Laung, Cloves",C,AFSTUW
Syzygium caryophyllatum (L.) Alston; [= Eugenia caryophyllaea Wight],MYRTACEAE,"Clove, Lavang Tree",W,AFSU
Syzygium cumini (L.) Skeels,MYRTACEAE,Jamun,W/C,AFHSTU
Tabernaemontana divaricata (L.); [= Ervatamia coronaria (Jacq.) Stapf],APOCYNACEAE,Candni,C,AF
Tacca aspera Roxb.; [= T. integrifolia Ker Gawl.],TACCACEAE,Varahikand,W,A
Tagetes erecta L.,ASTERACEAE,"African; Marygold,; Genda,; Sandu",C,AFS
Tagetes minuta L.,ASTERACEAE,Stinking roger,C/W,F
Tamarindus indica L.,CAESALPINIACEAE,Imli,C/W,AFSTU
Tamarix indica Roxb.,TAMARICACEAE,Jhan,W,AFU
Tanacetum vulgare L.,ASTERACEAE,Tansy,I,HW
Taraxacum officinale F.H.Wigg.,ASTERACEAE,"Kanphul,; Dudhal",C/W,AFHW
Taxus wallichiana Zucc.; [= T. baccata L.],TAXACEAE,Talispatra,W/C,AFWTag **
Tecomella undulata (Sm.) Seem.,BIGNONIACEAE,Rohitaka,W,AT
Tectona grandis L.f.,VERBENACEAE,Teak,C/W,AFSTU
Tephrosia purpurea (L.) Pers.,FABACEAE,"Sarad foka,; Sarpankha",W,AFSU
Teramnus labialis (L.f.) Spreng.,FABACEAE,Masparni,W,AFST
Terminalia arjuna (Roxb. ex DC.),COMBRETACEAE,Arjun,W/C,AFHSTU
Terminalia bellirica (Gaertn.) Roxb.,COMBRETACEAE,"Behda,; Bibhitaki",W/C,AFSU
Terminalia chebula Retz.,COMBRETACEAE,"Harda, Himaj",W,AFHSTU
Terminalia crenulata Roth,COMBRETACEAE,Asan,W,AF
Terminalia paniculata Roth,COMBRETACEAE,Vanmaruthu,W,AFS
Terminalia tomentosa (Roxb. ex DC.); [= T. alata Heyne ex Roth],COMBRETACEAE,Asan,W,AST
Thalictrum foliolosum DC.,RANUNCULACEAE,Mamira,W,AFS
Thespesia populnea (L.) Sol. ex Correa,MALVACEAE,Phalisa-Chhal,C,AFSU
Thymus serpyllum L.,LAMIACEAE,"Ban; Ajwain,; Satar Farsi",W,AHU
Tiliacora acuminata (Poir.) Miers ex,MENISPERMACEAE,"Kappatiga,; Bagamushada",C/W,FS
Tinospora cordifolia (Willd.) Miers,MENISPERMACEAE,"Giloy, Galo,; Amrithaballi",W,AFHSTU
Tinospora crispa (L.),MENISPERMACEAE,"Giloy, Galo,; Amrithaballi",W,F
Tinospora sinensis (Lour.) Merr.; [= T. malabarica (Lam.) Hook.f. &,MENISPERMACEAE,Amrata,W,AFSTag **
Toddalia asiatica (L.) Lam.,RUTACEAE,Janglikalimirch Shrub,W,AFS
Toona ciliata M.Roem.; [= Cedrela toona Roxb.],MELIACEAE,Thooniya-; noikam,W,F
Trachyspermum ammi (L.) Sprague,APIACEAE,"Ajmo,; Ajwayan",C,AFSTU
Trachyspermum roxburghianum,APIACEAE,Sath Ajwain,W,AFSU
Tragia involucrata L.,EUPHORBIACEAE,Barhanta,W,AFS
Trapa natans L.,TRAPACEAE,Singhada,C/W,A
Trianthema decandra L.; [= Zaleya decandra (L.) Burm.f.],AIZOACEAE,Saaranai ver,W,AS
Trianthema portulacastrum L.,AIZOACEAE,Lalsabuni,W,AFS
Tribulus alatus Del.,ZYGOPHYLLACEAE,Gokhru kalan,W,FU
Tribulus lanuginosus L.,ZYGOPHYLLACEAE,Gokhru,W,AU
Tribulus rajasthanensis M.M.Bhandari,ZYGOPHYLLACEAE,Gokhru (Subs.) Herb,W,AU
"Tribulus subramanyamii P.Singh,",ZYGOPHYLLACEAE,Gokhru (Subs.) Herb,W,AU
Tribulus terrestris L.,ZYGOPHYLLACEAE,"Gokhru,; Gokshu; ra",W,AFHSTU
Trichodesma zeylanicum (Burm.f.) R.Br.,BORAGINACEAE,Dhadhona,W,AFS
Trichopus zeylanicus Gaertn.,DIOSCOREACEAE,Arogyapacha,W,F
Trichosanthes anguina L.,CUCURBITACEAE,Snakegourd,C,AST
Trichosanthes cordata Roxb.,CUCURBITACEAE,Vidari,W,A
Trichosanthes cucumerina L.,CUCURBITACEAE,Patol; panchang,W,AFS
Trichosanthes dioica Roxb.,CUCURBITACEAE,Patol; (Kadu Parval),C,AFHST
Trichosanthes lobata Roxb.,CUCURBITACEAE,"Patola,; Tiktapatola",W,ATag **
Trichosanthes tricuspidata Lour.; [= T. bracteata (Lam.) Voigt ],CUCURBITACEAE,"Indrayan,; Mahakal",W,AFS
Tridax procumbens L.,ASTERACEAE,Jayanti,W,AFS
Trigonella corniculata (L.) L.,FABACEAE,Kasuri Methi,W/C,AUS
Trigonella foenum-graecum L.,FABACEAE,Methi,C,AFSUW
Tulipa stellata Hook.,LILIACEAE,Meethi; Suranjan,W,F
Tylophora indica (Burm.f.) Merr.; [= T. asthmatica (L.f.) Wight & Arn.],ASCLEPIADACEAE,"Antamul,; Country; Ipecacuahna",W,AFHS
"Typha elephantina Grah., non Roxb.; [= T. australis K.Schum. & Thonn.]",TYPHACEAE,Anaikkorai,W,AFS
Typhonium trilobatum (L.) Schott,ARACEAE,Karunai; kizhangu,W,FS
Uncaria gambier Thwaites,RUBIACEAE,Kath,I,AS
Uraria lagopodioides (L.) DC.,FABACEAE,Kalasi,W,AFSU
Uraria picta (Jacq.) DC.,FABACEAE,Prshniparni,W,AFST
Uraria rufescens (DC.) Schindl.,FABACEAE,Kalasi (Subs.),W,AF
Urginea indica (Roxb) Kunth. [=,LILIACEAE,"Janglipyaz,; White; squills",W,ASU
Urtica dioica L.; var. sublobata (Roxb.) Verdc.,URTICACEAE,Nettle,W,AHW
Valeriana hardwickii Wall.,VALERIANACEAE,"Tagar-ganth,; Nihani",W,AU
Valeriana jatamansi Jones; [= V. wallichii DC.],VALERIANACEAE,"Musakbal; a, Tagar",W,AF
Valeriana pyrolaefolia Decne.,VALERIANACEAE,Mushkaba; la (Subs.),W,ATag **
Vanda tessellata (Roxb.) Hook. ex G.Don,ORCHIDACEAE,Rasna,W,AFSU
Vateria indica L.,DIPTEROCARPACEAE,"Mandadhup; a, Dupa",C/W,AFSU
Ventilago madraspatana Gaertn.,RHAMNACEAE,Pitti,W,AFS
Vernonia cinerea (L.) Less.; [= V. conyzoides DC.],ASTERACEAE,Dandotpala,W,AFSTU
Vetiveria zizanioides (L.) Nash,POACEAE,"Lavancha,; Khas,; Vettiver",W/C,AFHSTU
Vigna mungo (L.) Hepper; [= Phaseolus mungo L.],FABACEAE,Urd,C,AFS
Vigna radiata (L.) R.Wilczek; [= Phaseolus radiatus L.],FABACEAE,Masha,C,AF
Vigna sublobata (Roxb.) Babu & Sharma; [= V. radiata (L.) Wilez; var. sublobata (Roxb.) Verdc.],FABACEAE,Masaparni,C,AS
Vigna vexillata (L.) A.Rich.,FABACEAE,Kattupayar,W,A
Viola canescens Wall.,VIOLACEAE,Banafasha,W,F
Viola cinerea Boiss.,VIOLACEAE,Banafasha; phool,W,A
Viola odorata L.,VIOLACEAE,Banafasha,W/C,AFHU
Viola pilosa Bi.,VIOLACEAE,Banafasha,W,AF
Vitex agnus-castus L.,VERBENACEAE,Chaste tree,I,HU
Vitex altissima L.f.,VERBENACEAE,Myrole,W,FSTag **
